id_client, prenom,nom,adresse,mail,telephone,date_naissance,date_inscription
1,Dorian,Clay,5529 Per Av.,vel.arcu@augueSed.com,07 69 84 19 74,2004-01-23,2021-02-18
2,Tom,Cline,580 Mauris Rd.,Sed.nunc.est@Pellentesquehabitantmorbi.com,08 10 63 03 76,1980-07-26,2021-02-07
3,Noémie,Salas,782-3962 Nunc Av.,Etiam.laoreet@elitpretium.ca,01 08 20 68 20,1974-02-04,2021-02-24
4,Élise,Pollard,"P.O. Box 693, 4539 Consequat Av.",sit@pedeCras.ca,07 33 19 40 90,1955-01-18,2021-02-21
5,Éloïse,Shields,8602 Enim. St.,Suspendisse@Curabiturmassa.ca,01 43 57 45 11,1988-09-15,2021-05-07
6,Alexia,Briggs,1520 Adipiscing. Road,Sed.congue.elit@egetmagnaSuspendisse.org,06 06 49 99 40,2000-09-16,2021-04-06
7,Nina,Estrada,8204 Turpis Ave,dis.parturient.montes@vulputaterisusa.co.uk,08 88 63 87 92,1964-02-20,2021-05-08
8,Mélanie,Zamora,218-6323 Quis St.,et.netus@atortorNunc.co.uk,09 22 58 55 52,1994-09-02,2021-02-22
9,Gabin,Mosley,562-9964 Hendrerit Rd.,In@diam.net,04 15 48 22 71,1980-04-20,2021-03-17
10,Léane,Craig,9885 Ipsum Ave,est.vitae.sodales@orcisemeget.edu,08 51 74 65 41,1951-12-22,2021-01-17
11,Éléna,Aguirre,5771 Cum Road,Donec@dolorFuscemi.org,09 61 56 93 17,2006-05-28,2021-01-30
12,Gabin,Young,1106 Tortor. St.,urna.Vivamus@diamProindolor.edu,05 90 73 46 51,2005-01-10,2021-03-30
13,Malo,Whitfield,"3363 Posuere, Av.",Nullam.enim.Sed@maurisSuspendissealiquet.ca,07 07 87 30 25,1978-02-11,2021-04-05
14,Dylan,Hodges,4769 Fringilla Ave,Fusce.feugiat.Lorem@vitae.org,05 28 50 36 38,1986-09-13,2021-02-02
15,Lucie,Barnes,"P.O. Box 838, 4651 Consectetuer St.",faucibus@Duisvolutpatnunc.edu,08 70 94 57 40,1990-03-12,2021-03-27
16,Clément,Norman,"P.O. Box 874, 3068 Fusce Av.",dictum.eleifend@dui.ca,07 62 29 01 74,1966-05-20,2021-02-24
17,Mélissa,Dickerson,2574 Venenatis St.,Suspendisse@nibhQuisque.org,01 07 45 77 70,1989-10-25,2021-04-13
18,Victor,Rowe,305-8122 Nisi Av.,Nunc.ullamcorper@Curabiturmassa.ca,06 24 82 47 52,1960-02-16,2021-05-11
19,Tatiana,Hodges,434-9109 Dui. St.,nibh.enim.gravida@Curabiturvellectus.org,04 51 64 42 98,1968-04-27,2021-02-17
20,Titouan,Mills,Ap #686-4669 Eleifend Road,Sed.et@estac.co.uk,02 09 78 41 69,1971-12-30,2021-03-07
21,Louis,Montoya,Ap #343-3277 Cubilia Ave,In@justo.edu,02 16 94 11 16,1967-05-16,2021-04-23
22,Jérémy,Sims,8850 Rhoncus Rd.,fringilla@Integer.ca,06 80 23 84 26,1952-07-30,2021-03-16
23,Jade,Mathis,"P.O. Box 597, 3016 Quisque Road",turpis.Nulla.aliquet@vehiculaPellentesquetincidunt.ca,03 56 28 45 92,1977-04-01,2021-05-17
24,Dylan,Copeland,"P.O. Box 952, 216 Non Avenue",nec.eleifend.non@sempertellusid.net,02 69 72 91 38,1971-02-04,2021-04-01
